Date,Open,High,Low,Close,Adj Close,Volume
2000/7/6,144.9375,146.468704,144.218704,145.75,105.074265,5963200
2000/7/7,146.6875,148.781204,146.25,148.093704,106.763893,3034800
2000/7/10,147.875,148.906204,147.531204,147.843704,106.583687,2816100
2000/7/11,147.468704,149.125,147.156204,148.156204,106.808975,5431600
2000/7/12,149.281204,150.125,148.6875,149.125,107.507385,5883000
2000/7/13,149.984299,150.375,149.1875,149.781204,107.980438,5356000
2000/7/14,150.4375,151.25,149.671799,151.25,109.039368,5341900
2000/7/17,150.984299,151.984299,150.6875,151,108.859154,4208300
2000/7/18,150.625,150.625,149.343704,149.765594,107.969193,4262100
2000/7/19,149.468704,149.906204,148.25,148.5625,107.101845,8506800
2000/7/20,149,150.625,148.8125,150.625,108.588783,4538900
2000/7/21,149.75,149.75,147.6875,147.6875,106.471054,5656900
